"variable","value","treatment","year"
"Undominated",0.125,"CK","2021"
"Homogeneous selection",0.875,"CK","2021"
"Undominated",0.125,"N1","2021"
"Homogeneous selection",0.875,"N1","2021"
"Undominated",0.125,"N2","2021"
"Homogeneous selection",0.875,"N2","2021"
"Undominated",0.15625,"O1","2021"
"Homogeneous selection",0.78125,"O1","2021"
"Dispersal limitation",0.0625,"O1","2021"
"Undominated",0.125,"O2","2021"
"Homogeneous selection",0.875,"O2","2021"
"Undominated",0.125,"CK","2022"
"Homogeneous selection",0.875,"CK","2022"
"Undominated",0.125,"N1","2022"
"Homogeneous selection",0.875,"N1","2022"
"Undominated",0.125,"N2","2022"
"Homogeneous selection",0.875,"N2","2022"
"Undominated",0.125,"O1","2022"
"Homogeneous selection",0.875,"O1","2022"
"Undominated",0.125,"O2","2022"
"Homogeneous selection",0.875,"O2","2022"
"Undominated",0.166666666666667,"CK","2023"
"Homogeneous selection",0.833333333333333,"CK","2023"
"Undominated",0.166666666666667,"N1","2023"
"Dispersal limitation",0.222222222222222,"N1","2023"
"Homogeneous selection",0.611111111111111,"N1","2023"
"Undominated",0.166666666666667,"N2","2023"
"Dispersal limitation",0.222222222222222,"N2","2023"
"Homogeneous selection",0.611111111111111,"N2","2023"
"Undominated",0.166666666666667,"O1","2023"
"Homogeneous selection",0.611111111111111,"O1","2023"
"Dispersal limitation",0.222222222222222,"O1","2023"
"Undominated",0.166666666666667,"O2","2023"
"Homogeneous selection",0.833333333333333,"O2","2023"
