"variable","value","treatment","year"
"Undominated",0.125,"CK","2021"
"Homogeneous selection",0.875,"CK","2021"
"Undominated",0.125,"N1","2021"
"Homogeneous selection",0.84375,"N1","2021"
"Dispersal limitation",0.03125,"N1","2021"
"Undominated",0.15625,"N2","2021"
"Homogeneous selection",0.71875,"N2","2021"
"Dispersal limitation",0.125,"N2","2021"
"Undominated",0.125,"O1","2021"
"Homogeneous selection",0.875,"O1","2021"
"Undominated",0.15625,"O2","2021"
"Homogeneous selection",0.8125,"O2","2021"
"Dispersal limitation",0.03125,"O2","2021"
"Undominated",NA,"CK","2022"
"Homogeneous selection",NA,"CK","2022"
"Undominated",0.166666666666667,"N1","2022"
"Homogeneous selection",0.833333333333333,"N1","2022"
"Undominated",0.166666666666667,"N2","2022"
"Homogeneous selection",0.833333333333333,"N2","2022"
"Undominated",0.555555555555556,"O1","2022"
"Homogeneous selection",0.444444444444444,"O1","2022"
"Undominated",0.222222222222222,"O2","2022"
"Homogeneous selection",0.777777777777778,"O2","2022"
"Undominated",0.166666666666667,"CK","2023"
"Homogeneous selection",0.833333333333333,"CK","2023"
"Undominated",0.166666666666667,"N1","2023"
"Homogeneous selection",0.833333333333333,"N1","2023"
"Undominated",0.166666666666667,"N2","2023"
"Homogeneous selection",0.833333333333333,"N2","2023"
"Undominated",0.5,"O1","2023"
"Homogeneous selection",0.388888888888889,"O1","2023"
"Dispersal limitation",0.111111111111111,"O1","2023"
"Undominated",0.166666666666667,"O2","2023"
"Homogeneous selection",0.833333333333333,"O2","2023"
